time;host;consumer_group;cpu;pxqtime;iowait;oth_wait;reqs
2018-12-27 12:00:00;2;fp_dm_prior;0.38716973888820794;0.04565358757785812;0.1394995598033212;0.06486091501494028;0.020586240083136545
2018-12-27 14:00:00;2;fp_dm_prior;0.3876943941817256;0.045316602532844225;0.13970034376493687;0.06475523219406361;0.020450083915992553
2018-12-27 16:00:00;2;fp_dm_prior;0.3882190494752431;0.0449796174878303;0.1399011277265525;0.06464954937318694;0.020313927748848576
2018-12-27 18:00:00;2;fp_dm_prior;0.38874370476876063;0.04464263244281638;0.14010191168816816;0.06454386655231026;0.02017777158170457
2018-12-27 20:00:00;2;fp_dm_prior;0.3892683600622783;0.04430564739780246;0.14030269564978382;0.06443818373143358;0.020041615414560593
2018-12-27 22:00:00;2;fp_dm_prior;0.3897930153557958;0.04396866235278854;0.14050347961139947;0.0643325009105569;0.019905459247416588
2018-12-28 00:00:00;2;fp_dm_prior;0.39031767064931333;0.04363167730777462;0.14070426357301513;0.06422681808968023;0.019769303080272596
2018-12-28 02:00:00;2;fp_dm_prior;0.39084232594283097;0.043294692262760726;0.14090504753463076;0.06412113526880356;0.01963314691312862
2018-12-28 04:00:00;2;fp_dm_prior;0.3913669812363485;0.04295770721774678;0.14110583149624642;0.06401545244792688;0.019496990745984613
2018-12-28 06:00:00;2;fp_dm_prior;0.391891636529866;0.04262072217273288;0.14130661545786208;0.0639097696270502;0.019360834578840636
2018-12-28 08:00:00;2;fp_dm_prior;0.39241629182338367;0.042283737127718934;0.14150739941947774;0.06380408680617351;0.01922467841169663
2018-12-28 10:00:00;2;fp_dm_prior;0.3929409471169012;0.04194675208270504;0.14170818338109337;0.06369840398529684;0.019088522244552653
2018-12-28 12:00:00;2;fp_dm_prior;0.3934656024104187;0.04160976703769112;0.14190896734270902;0.06359272116442018;0.01895236607740866
2018-12-28 14:00:00;2;fp_dm_prior;0.39399025770393636;0.0412727819926772;0.14210975130432468;0.0634870383435435;0.01881620991026467
2018-12-28 16:00:00;2;fp_dm_prior;0.3945149129974539;0.04093579694766328;0.1423105352659403;0.06338135552266681;0.018680053743120678
2018-12-28 18:00:00;2;fp_dm_prior;0.39503956829097153;0.04059881190264936;0.142511319227556;0.06327567270179013;0.018543897575976673
2018-12-28 20:00:00;2;fp_dm_prior;0.39556422358448906;0.040261826857635435;0.14271210318917163;0.06316998988091346;0.018407741408832695
2018-12-28 22:00:00;2;fp_dm_prior;0.3960888788780066;0.03992484181262154;0.14291288715078726;0.0630643070600368;0.018271585241688704
2018-12-29 00:00:00;2;fp_dm_prior;0.39661353417152423;0.03958785676760759;0.14311367111240295;0.06295862423916011;0.018135429074544712
2018-12-29 02:00:00;2;fp_dm_prior;0.39713818946504176;0.0392508717225937;0.14331445507401858;0.06285294141828343;0.01799927290740072
2018-12-29 04:00:00;2;fp_dm_prior;0.3976628447585593;0.038913886677579806;0.1435152390356342;0.06274725859740676;0.017863116740256743
2018-12-29 06:00:00;2;fp_dm_prior;0.3981875000520769;0.03857690163256586;0.1437160229972499;0.06264157577653008;0.017726960573112738
